Node,PageRank
medic,0.002473785085326493
would,0.0028656104383176814
encount,0.002666587540738768
visit,0.002666587540738768
consult,0.0019486379195480829
viewpoint,0.001993356742581517
focus,0.002144892206423941
trainabl,0.001993356742581517
kind,0.0020103640156806856
much,0.001992479902914195
avalu,0.001994269371623016
sequenc,0.0020885292468452196
promot,0.002452973744577867
efﬁcient,0.001993356742581517
call,0.001992479902914195
method,0.001994269371623016
must,0.001994269371623016
illustr,0.001992479902914195
seen,0.0020762156434157913
mauksch,0.001992479902914195
give,0.0020102246118028234
hint,0.001992479902914195
spite,0.001994269371623016
increas,0.001993356742581517
document,0.001992479902914195
ﬁnding,0.001994269371623016
summar,0.001993356742581517
occur,0.001994269371623016
ongo,0.001992479902914195
suffer,0.001994269371623016
less,0.001992479902914195
greater,0.002144892206423941
ideal,0.001993356742581517
see,0.001992479902914195
said,0.001994269371623016
donecr,0.001993356742581517
purpos,0.001993356742581517
clin,0.001994269371623016
lancet,0.002020385630058942
bertaki,0.001993356742581517
kd,0.001992479902914195
care,0.002595429968708287
valu,0.0019486379195480829
origin,0.002735848307400681
ﬁnd,0.002746824997693577
given,0.0021835645797972873
interact,0.0022004324490185936
spontan,0.002256660955509501
write,0.002720808111963261
talk,0.002242239367622771
chain,0.0019486379195480829
chosen,0.002500921647151476
brieﬂi,0.002500921647151476
emot,0.0019486379195480829
arnstein,0.002064677215410711
trond,0.001965931029169926
depart,0.0019656451926472513
consid,0.0020640957701765516
answer,0.0019657869199230776
current,0.0019663782647635947
neuroscientiﬁc,0.0019655057887693894
sexpress,0.0020338203339201836
pain,0.0019663782647635947
anger,0.0019662266378814106
grief,0.0019660775809463827
identifi,0.0019656451926472513
might,0.0019660775809463827
intermedi,0.0019657869199230776
design,0.0019655057887693894
reveal,0.0019655057887693894
attenu,0.0019662266378814106
worri,0.0019662266378814106
invit,0.0019660775809463827
repli,0.0019657869199230776
statement,0.0019655057887693894
questionnair,0.0023804394335839555
tress,0.0019663782647635947
follow,0.0019662266378814106
contagion,0.0021726121866206616
unbalanc,0.0019660775809463827
mobil,0.001965931029169926
identiﬁc,0.0019656451926472513
utilis,0.0019655057887693894
paper,0.0019662266378814106
specifi,0.0019655057887693894
se,0.0020249014257068937
found,0.002116849472682336
pattern,0.0020370090295913886
project,0.0019656451926472513
lower,0.0019655057887693894
exert,0.0019662266378814106
siolog,0.0019655057887693894
step,0.0019656451926472513
circuitri,0.0019657869199230776
way,0.0019660775809463827
therefor,0.0020371531388382372
propos,0.0019657869199230776
necessari,0.0020507337306677103
get,0.0020243199804727344
stuck,0.0019655057887693894
longer,0.0025230091665333423
event,0.0019656451926472513
attempt,0.0019923428963173374
distress,0.0019657869199230776
subserv,0.0019663782647635947
true,0.0019657869199230776
closer,0.002588316943281752
behavior,0.0024019859163406597
ick,0.0020948664333917118
w,0.0020912391018194356
editor,0.0019657869199230776
accuraci,0.0019655057887693894
preferenti,0.0020260475405183232
engag,0.0019662266378814106
rizzolatti,0.0019656451926472513
g,0.0019655057887693894
abnorm,0.0020249014257068937
ar,0.0019657869199230776
languag,0.0019663782647635947
primari,0.0019662266378814106
reliabl,0.0020826353758536327
valid,0.0019656451926472513
go,0.0027013624477831384
beyond,0.0019660775809463827
pressman,0.0019655057887693894
dimens,0.0019663782647635947
phan,0.0020824936485778064
kl,0.0019655057887693894
ohira,0.0019662266378814106
nomura,0.001965931029169926
ichikawa,0.0019657869199230776
isowa,0.0019655057887693894
kim,0.0019660775809463827
sh,0.001965931029169926
hamann,0.0019657869199230776
enck,0.0020621269248774074
benedetti,0.0019657869199230776
f,0.0019656451926472513
schedlowski,0.0019655057887693894
expect,0.0019663782647635947
anxieti,0.0019662266378814106
eral,0.0020388832956352914
modulatori,0.002036867302315562
diverg,0.002064677215410711
regul,0.0019486379195480829
view,0.0021649539267488394
promin,0.0021913738626084395
featur,0.002070803521915034
deﬁn,0.0022251556075343626
claim,0.0020446872634791078
somat,0.0020470884970773835
highli,0.0020446872634791078
later,0.0020470884970773835
better,0.0020446872634791078
integr,0.0020470884970773835
cogn,0.0020446872634791078
behaviour,0.0019486379195480829
present,0.0022144191052248384
therapi,0.0021557443173993553
certain,0.0022302095390986892
physiolog,0.0027883197726832846
speciﬁc,0.0021557443173993553
facilit,0.0022302095390986892
seem,0.0029012245753813957
motiv,0.0021557443173993553
brain,0.0021976432215247963
known,0.0025714490740604457
distinct,0.0028081421001761855
mechan,0.0019486379195480829
term,0.0025270379055874026
neurobiolog,0.002500921647151476
process,0.0019486379195480829
select,0.002079654302815849
review,0.0020505474169034707
inﬂuenc,0.0020538348200439677
involv,0.0020538348200439677
explain,0.002132493688696247
social,0.0020505474169034707
suggest,0.0020505474169034707
broadli,0.0020538348200439677
speciﬁ,0.0020538348200439677
prematur,0.0020505474169034707
part,0.0020538348200439677
ann,0.0020538348200439677
rev,0.0020505474169034707
measur,0.002468047615746512
fam,0.0020769673527630712
affect,0.0019486379195480829
becom,0.0020929232850791387
optim,0.002129540208679166
surpris,0.002125178137045022
research,0.00214266096232113
although,0.0020665033492195386
moreov,0.0023031963753352785
digit,0.0020665033492195386
marit,0.002401241169486473
disrupt,0.0020665033492195386
health,0.0020665033492195386
magnet,0.0020665033492195386
ispropos,0.0025057160569114992
outcom,0.0019486379195480829
discuss,0.002362850715250628
mean,0.002362850715250628
attent,0.002362850715250628
may,0.0019486379195480829
conceptu,0.0020305841913408583
adher,0.002097059135575486
obvious,0.0020331450123343827
enhanc,0.0020918198001598654
least,0.0020305841913408583
buffer,0.0020305841913408583
differenti,0.0020331450123343827
fact,0.0023619544279028944
quit,0.0020305841913408583
place,0.0020305841913408583
cardiovascular,0.0020305841913408583
lead,0.0020331450123343827
phenomena,0.0025380168870673576
lizat,0.0020305841913408583
exposur,0.0020305841913408583
activ,0.0019486379195480829
ad,0.0020198600292163937
train,0.0020877493339666515
repres,0.0020217342952602965
along,0.0020217342952602965
mention,0.0020217342952602965
text,0.0020198600292163937
premotor,0.0020198600292163937
interestingli,0.0020198600292163937
motor,0.0020217342952602965
caution,0.0020198600292163937
intent,0.0020198600292163937
medial,0.0020217342952602965
sinc,0.002226966427067666
dorsal,0.0020217342952602965
anterior,0.0022960018930180902
individu,0.0020217342952602965
reward,0.0020217342952602965
commun,0.0019486379195480829
element,0.0020247955326496746
interchang,0.0020247955326496746
ultim,0.0020231031412474166
third,0.0020247955326496746
teach,0.002049523077107017
efﬁcienc,0.0020231031412474166
empir,0.0020231031412474166
literatur,0.002273800834626388
ﬁeld,0.0020247955326496746
profoundli,0.0020231031412474166
like,0.0021501036052991836
simpl,0.0020231031412474166
emphas,0.0020247955326496746
import,0.0022597961673631564
interview,0.0020492193996833434
alexithym,0.0020247955326496746
style,0.0020247955326496746
doctor,0.0019486379195480829
curriculum,0.002013756232267718
perform,0.00201511286378271
manipul,0.002013756232267718
reason,0.002789970126735512
incred,0.0020395757150395996
other,0.002016527224298341
strictli,0.002013756232267718
toolbox,0.002016527224298341
refus,0.00201511286378271
unnecessari,0.002013756232267718
establish,0.0024279690279702627
investig,0.002013756232267718
favour,0.002076196500053069
intend,0.0020737876516081933
paradigm,0.002316628854703833
formul,0.002016527224298341
feel,0.0022532202504140803
intens,0.00201511286378271
desir,0.00201511286378271
agre,0.002013756232267718
address,0.00201511286378271
patient,0.0019486379195480829
relationsgener,0.001975686901499578
practicevalu,0.001975368678182502
chainneurobiologyneuropsychologycommun,0.0019750578554076827
trainingabstract,0.001974457402319965
journal,0.0019750578554076827
homepag,0.0019747541779840095
situat,0.001974457402319965
clinic,0.0022505992661216614
324but,0.0019750578554076827
criteria,0.0019747541779840095
suchman,0.002212379927615318
code,0.0019747541779840095
system,0.001974457402319965
325research,0.0019750578554076827
similar,0.0019747541779840095
aim,0.0022515105419841984
relat,0.0019747541779840095
oneach,0.0019750578554076827
326rapport,0.0019750578554076827
327both,0.0019750578554076827
guid,0.001975686901499578
come,0.001974457402319965
acknowledg,0.0022515105419841984
taken,0.001975368678182502
serious,0.0019750578554076827
therebi,0.0019747541779840095
balancebetween,0.001975686901499578
gain,0.001974457402319965
abil,0.001974457402319965
listen,0.002104157530627831
written,0.0019747541779840095
examin,0.001974457402319965
want,0.0019750578554076827
decreas,0.001974457402319965
328effect,0.0019750578554076827
coronari,0.001975686901499578
appoint,0.001975368678182502
noncompli,0.0019750578554076827
gen,0.0019750578554076827
intern,0.0019747541779840095
med,0.001974457402319965
pract,0.0019747541779840095
couns2005,0.001975368678182502
graugaard,0.0019750578554076827
pk,0.0019747541779840095
holgersen,0.001974457402319965
vollm,0.0019750578554076827
ba,0.0019747541779840095
tayloran,0.001974457402319965
effect,0.0019486379195480829
separ,0.0020599783190329264
elabor,0.0020599783190329264
thedisclosur,0.0020599783190329264
work,0.0020599783190329264
good,0.0020573273571404304
end,0.0020573273571404304
asfundament,0.0020573273571404304
trait,0.0020599783190329264
construct,0.0020573273571404304
link,0.0020599783190329264
inhibit,0.0020599783190329264
traumat,0.0020599783190329264
psycholog,0.0020599783190329264
one,0.0019486379195480829
hold,0.002185330945663823
omit,0.002185330945663823
nucleu,0.002185330945663823
tri,0.002185330945663823
thu,0.0023199399382882162
disput,0.0022602706625334877
characteris,0.0022602706625334877
nuat,0.0022602706625334877
appl,0.0022602706625334877
function,0.00246737706038476
model,0.0019486379195480829
resolv,0.002362850715250628
aliteratur,0.002362850715250628
empath,0.002362850715250628
rapport,0.0019486379195480829
use,0.002077426771993412
observ,0.0023890105345275286
basic,0.002073945992197592
iti,0.002077426771993412
quickli,0.002077426771993412
respond,0.003451608940396059
verbal,0.002077426771993412
coun,0.002077426771993412
cue,0.002443071985832815
underli,0.0032360142503710184
concern,0.0019486379195480829
mani,0.0022247797833497797
explicit,0.0022247797833497797
sens,0.0022247797833497797
empathi,0.0019486379195480829
recent,0.0021557443173993553
parallel,0.0021557443173993553
thea,0.0021557443173993553
toward,0.0021557443173993553
neuroreport,0.0021557443173993553
posit,0.0019486379195480829
formal,0.0020083071953028112
instrument,0.002007312707373566
relationshipbetween,0.0020093359759192726
convey,0.0020083071953028112
accord,0.0020083071953028112
psychotherapi,0.0020083071953028112
per,0.0020083071953028112
anoth,0.002007312707373566
valenc,0.002007312707373566
character,0.002421525503076111
speed,0.0020083071953028112
recoveri,0.002007312707373566
introduct,0.0020083071953028112
richman,0.0022440057334893056
reapprais,0.0019486379195480829
even,0.0022247797833497797
also,0.0022247797833497797
indic,0.0019486379195480829
case,0.002185330945663823
high,0.002185330945663823
let,0.002185330945663823
role,0.002185330945663823
open,0.002185330945663823
three,0.0021976432215247963
main,0.0021976432215247963
shortcut,0.0021976432215247963
associ,0.0022637024618780187
bilater,0.0024302511325027002
nicat,0.0027616213690647364
strong,0.0024302511325027002
porter,0.0025341483239438756
express,0.0019486379195480829
immedi,0.002362850715250628
automat,0.002362850715250628
neg,0.0019486379195480829
pictur,0.003605489102358262
number,0.0019486379195480829
diagnos,0.002362850715250628
differ,0.002362850715250628
respons,0.0019486379195480829
tendenc,0.002099260754349008
video,0.002099260754349008
neurobehavior,0.002099260754349008
cognit,0.002099260754349008
back,0.002099260754349008
gestur,0.002099260754349008
therapist,0.002099260754349008
voluntari,0.002099260754349008
abl,0.0022637024618780187
experiment,0.0022637024618780187
outsid,0.0022637024618780187
alter,0.0022637024618780187
studi,0.0019486379195480829
accept,0.002068482489733268
look,0.002068482489733268
explor,0.002068482489733268
common,0.002068482489733268
show,0.002068482489733268
task,0.002396856612040674
submittedfor,0.002068482489733268
public,0.002065486375478638
biol,0.002068482489733268
psychiatr,0.002065486375478638
nonverb,0.0019486379195480829
imit,0.002280008156110119
signal,0.002280008156110119
mirror,0.0019486379195480829
movement,0.003605489102358262
cortex,0.0019486379195480829
acc,0.0022247797833497797
vmpfc,0.0022247797833497797
lpfc,0.0022247797833497797
particular,0.0022247797833497797
dacc,0.0022247797833497797
prefront,0.0019486379195480829
region,0.0027770635109531728
fmri,0.0027770635109531728
area,0.0019486379195480829
macaqu,0.002362850715250628
amygdala,0.002362850715250628
impli,0.002362850715250628
consequ,0.002384397198007332
perceprt,0.002384397198007332
psychol,0.0019486379195480829
dobson,0.002185330945663823
grifﬁth,0.002185330945663823
quarterly2001,0.002185330945663823
knudsen,0.002185330945663823
markowitsch,0.002185330945663823
j,0.0019486379195480829
dresner,0.002280008156110119
cancer,0.002280008156110119
carlsson,0.002280008156110119
adv,0.002280008156110119
