Word,Frequency
medic,29
consult,48
view,10
valu,37
chain,29
neurobehavior,9
approach,7
emot,115
regul,39
arnstein,1
finset,14
trond,1
mjaaland,11
depart,2
behaviour,24
scienc,5
medicin,4
univers,2
oslo,4
norway,2
introduct,2
articl,4
discuss,9
two,6
viewpoint,2
ﬁrst,5
glanc,1
complet,3
unrel,1
propos,7
concept,7
primarili,1
appli,10
econom,1
moreov,4
neurosci,12
perspect,10
analyz,2
brain,18
mechan,19
underli,5
core,5
process,30
affect,34
sequenc,2
step,20
ﬁnd,2
combin,1
fruit,4
twopurpos,1
specifi,4
compon,5
relationship,12
impact,8
outcom,19
may,31
test,3
empir,4
gain,3
insight,3
potenti,10
term,10
notion,1
origin,1
introduc,1
economist,1
michael,1
porter,3
describ,5
organis,1
could,9
organ,3
product,13
manag,3
order,7
competit,2
speciﬁc,10
consecut,1
oper,5
activ,37
end,4
built,1
everi,5
singl,1
make,5
build,2
prior,1
produc,1
ad,4
use,7
metaphor,5
analysi,9
focus,2
trainabl,1
commun,43
doctor,46
includ,11
curriculum,1
consequ,4
patient,83
becom,1
creat,12
terminolog,2
help,5
highlight,2
effect,40
larger,4
variat,2
tool,3
one,24
hold,1
better,3
control,7
chanc,1
accord,3
intent,8
interact,20
consid,3
answer,2
kind,3
much,2
given,3
lie,2
qualiti,9
individu,6
level,4
createpati,1
educ,11
counsel,9
info,1
histori,2
receiv,3
juli,1
revis,1
form,1
novemb,1
accept,2
decemb,1
keyword,1
physician,7
relationsgener,1
practicevalu,1
chainneurobiologyneuropsychologycommun,1
skill,7
trainingabstract,1
object,1
present,9
model,15
element,7
relev,4
current,2
knowledg,7
four,7
neuroscientiﬁc,1
evid,9
correspond,3
basic,6
select,4
review,12
result,6
establish,3
rapport,35
disclosur,6
cue,21
concern,25
sexpress,1
empathi,28
posit,57
reapprais,25
conclus,4
emphasi,13
goal,9
orient,3
understand,6
ispropos,1
indic,17
case,3
suggest,15
explain,4
associ,28
implic,3
interest,6
conceptu,5
train,4
elsevi,2
ireland,2
right,10
reserv,2
paper,10
part,5
base,7
aach,1
confer,1
charleston,1
octob,1
name,3
theoret,1
health,15
care,3
research,9
neuropsycholog,1
second,1
author,3
ofth,1
conceiv,1
idea,1
avalu,1
chosen,2
withinthat,1
framework,1
institut,1
faculti,1
postofﬁc,1
box,6
blindern,1
tel,1
fax,1
address,3
list,1
avail,1
sciencedirect,1
journal,1
homepag,1
see,10
front,1
matter,1
go,2
event,4
ideal,2
mean,7
sufﬁcient,1
omit,1
creation,6
least,2
three,6
clinic,7
seri,2
discret,1
perform,1
manipul,2
separ,2
purposefuln,1
ss,1
meet,2
reason,5
incred,1
import,12
choos,4
proper,2
action,4
contend,1
merit,1
section,1
assist,1
promin,1
featur,1
task,4
particular,6
gener,7
practic,3
allow,1
show,3
express,18
neg,19
pain,4
anger,1
grief,1
well,4
contribut,2
identifi,3
promot,6
optim,2
surpris,1
common,2
mani,4
other,6
adher,4
strictli,1
biomed,1
reluct,2
deﬁn,4
gross,9
inﬂuenc,5
experi,14
key,3
success,6
factor,3
life,2
evidenc,1
larg,4
number,15
diagnos,1
dysregul,1
play,2
role,9
claim,1
time,3
strategi,7
great,1
repres,4
focu,5
cognit,11
restructur,1
therapi,5
wherea,4
respons,21
tendenc,1
somat,1
instanc,5
cardiovascular,3
diseas,5
problem,2
although,2
frequent,1
tend,5
report,8
efﬁcient,1
toolbox,1
fig,9
context,3
trait,2
state,3
aspect,4
situat,1
background,1
variabl,1
middl,1
actual,8
interchang,2
regimen,1
inform,4
ill,2
treatment,2
option,1
andmotiv,1
chang,7
thought,3
relief,3
might,1
intermedi,1
sens,4
mediat,2
ultim,1
would,5
call,2
shall,1
neurobehaviour,3
theori,8
vioural,1
provid,2
involv,8
point,5
relat,12
method,1
start,1
observ,7
certain,2
along,1
take,5
reductionist,1
reduc,7
physiolog,9
convey,3
messag,2
full,1
goe,2
must,3
subject,6
person,14
experienti,2
sender,1
also,15
abl,3
explor,2
third,1
refus,1
unnecessari,1
want,2
howev,13
stage,1
priori,1
literatur,8
teach,1
obvious,2
brieﬂi,1
highli,1
systemat,2
search,1
databas,1
infig,1
taken,3
illustr,1
denot,2
natur,5
interperson,8
often,9
linda,2
robert,2
rosenth,3
essenti,1
mutual,6
attent,7
parti,1
reciproc,5
balanc,1
ongo,2
formal,1
instrument,1
assess,3
typic,4
seen,3
mention,1
text,1
324but,1
criteria,2
studi,38
reliabl,2
investig,8
recent,6
mauksch,2
et,11
al,13
domain,1
enhanc,3
efﬁcienc,2
meagr,1
depend,1
strongli,1
nonverb,15
found,6
good,6
predictor,2
sever,1
measur,4
satisfact,6
refer,6
explicitli,5
chroni,1
ampl,1
mimic,1
imit,3
anoth,4
postur,3
movement,2
intric,1
danc,1
mirror,20
synchroni,3
mother,1
infant,2
niou,1
spous,1
concord,2
heart,3
rate,1
psychotherapi,5
high,2
degre,2
mimicri,2
characterist,4
facilit,5
smooth,1
thu,1
link,5
difﬁcult,2
sinc,2
simul,2
imag,10
anterior,4
cingul,3
cortex,17
acc,1
dorsomedi,6
prefront,17
dmpfc,3
expect,6
impli,3
percept,6
direct,3
gaze,2
directgaz,1
elicit,6
earli,1
mental,3
mind,6
signal,1
vocal,4
warren,4
automat,3
modul,5
network,12
premotor,2
cortic,2
region,2
differenti,2
determin,2
valenc,6
stimuli,6
distinct,4
neuron,14
ﬁre,1
anim,1
carri,1
pariet,1
area,18
macaqu,1
later,5
human,2
system,11
perceptu,1
motor,2
coordin,1
reaction,2
give,2
hint,1
zimmermann,2
per,6
rang,1
fact,3
count,2
half,1
differ,3
code,4
design,1
tap,1
look,1
relationshipbetween,1
talk,2
psychosoci,3
topic,2
tion,3
experiment,3
set,2
immedi,1
student,1
watch,1
video,2
segment,1
suppos,1
ask,2
repress,2
instruct,3
less,4
facial,2
verbal,4
sor,1
display,1
psychophysiolog,3
stress,5
permit,1
label,7
evoc,1
hariri,3
expos,1
threaten,2
fear,1
deriv,1
intern,6
pictur,3
iap,1
condit,2
without,1
told,1
data,3
reveal,1
bilater,1
amygdala,6
evalu,1
attenu,2
correl,5
increas,8
higher,2
centr,2
frontal,3
overrul,1
primit,1
pattern,3
reﬂect,1
skin,2
conduct,2
similar,7
ﬁnding,9
ventrolater,5
vlpfc,7
let,1
conﬁrm,1
respond,4
suchman,4
empath,10
opportun,2
worri,1
invit,1
repli,1
statement,3
hard,1
encompass,1
back,1
categori,2
questionnair,1
zacharia,2
oncolog,1
score,1
greater,4
tress,1
follow,2
littl,5
elabor,2
325research,1
support,9
write,2
buffer,2
laboratori,2
extens,1
gical,1
abil,4
discern,1
special,1
social,18
attribut,1
crucial,4
capabl,1
infer,1
contagion,1
share,6
known,2
main,2
ventromedi,2
vmpfc,1
legitim,2
subsequ,1
resolv,2
unbalanc,1
challeng,1
last,2
year,3
develop,5
grow,2
ﬁeld,3
psycholog,6
resourc,6
consideredpsycholog,1
asset,1
consider,1
payoff,1
properli,1
nurtur,1
achiev,4
aim,1
possibl,1
solut,2
cope,8
function,6
mobil,1
identiﬁc,1
utilis,1
central,1
rather,1
put,3
workload,2
practition,1
exist,1
spite,1
document,1
emerg,4
ism,1
lack,1
recours,1
broad,1
lifestyl,1
question,3
content,1
withrelev,1
therefor,2
addit,1
supplement,1
roter,3
se,2
broadli,1
respect,1
subsect,1
paradigm,2
yield,1
lpfc,1
similarli,1
kim,2
hamann,2
attempt,2
decreas,2
interestingli,2
left,1
ventral,4
striatum,3
wager,2
identiﬁ,1
pathway,5
downstream,3
nucleu,1
ben,1
predict,1
togeth,1
apprais,1
project,2
lower,2
strikingli,1
appear,2
weight,1
exert,1
placebo,11
like,3
opioid,3
act,1
neurobiolog,2
complex,1
nicat,2
oneach,1
summar,2
summari,2
draw,2
lieberman,9
spontan,4
character,3
parallel,4
open,3
phylogenet,1
newer,1
linguist,1
serial,2
precis,1
favour,1
intend,1
b,4
seem,3
quit,1
divers,1
tent,1
subserv,4
disput,1
popular,1
press,3
ofa,1
326rapport,1
caution,1
listen,2
engag,3
prepar,1
gestur,1
assign,1
explicit,1
autom,1
keyser,2
gazzola,2
outsid,1
classic,1
ietal,1
circuit,3
strong,2
iti,1
believ,3
beyond,2
audit,1
futur,2
siolog,1
phenomena,3
hypothes,2
thedisclosur,1
hemispher,1
lobe,1
digit,1
speciﬁ,1
ﬁlled,1
ref,1
medial,2
327both,1
insula,1
distress,3
n,7
circuitri,3
opoid,1
even,2
way,5
guid,1
formul,2
come,2
work,3
say,1
acknowledg,1
place,2
otherwis,1
counterproduct,1
shortcut,1
prematur,1
reassur,3
leav,1
feel,8
serious,1
therebi,1
wrong,1
contact,1
necessari,1
get,2
stuck,1
anteced,1
longer,1
balancebetween,1
rest,2
true,1
access,1
closer,1
retriev,1
whether,1
yet,1
shown,2
contrast,1
occur,1
characteris,1
inboth,1
cowork,1
moment,1
connexion,2
intens,1
reactiv,2
eisenberg,4
neural,7
nuat,1
associatedwith,1
diminish,1
dorsal,1
dacc,1
explos,1
probabl,1
profoundli,1
meaning,1
descript,1
ofsequ,1
simpl,1
mathemat,1
indiffer,1
contrari,1
normal,1
delic,1
issu,1
prescript,2
written,1
examin,1
etc,1
quickli,1
suffer,1
compar,1
forward,1
asfundament,1
profession,1
lead,1
exampl,2
visit,2
sole,1
thatth,1
alter,2
dietari,2
habit,1
home,1
diet,1
gave,1
desir,1
andpurpos,1
bear,1
principl,1
reach,2
everyth,1
tri,1
diabet,1
agre,1
blood,2
sugar,2
screen,1
tell,1
presum,1
daili,1
exercis,1
routin,1
begin,2
reinforc,1
motiv,1
progress,1
said,1
donecr,1
emphas,1
toward,3
argu,2
thea,1
328effect,1
atmospher,1
basi,1
trust,1
purpos,1
clariﬁ,1
strateg,1
afterward,1
fragment,1
reﬁn,1
deﬁnit,2
lizat,1
conﬂict,2
ﬁnancial,1
peopl,1
within,1
submit,1
inappropri,1
perceiv,3
advantag,1
new,6
york,5
free,1
jj,5
integr,2
rev,5
gen,4
psychol,20
fredrickson,2
bl,3
levenson,4
rw,5
speed,1
recoveri,1
ovascular,1
sequela,1
dobson,1
ks,1
handbook,1
2nd,1
guilford,2
denollet,1
j,25
sy,3
su,1
stroobant,1
rombout,1
h,3
gillebert,1
tc,1
brutsaert,1
dl,2
independ,1
mortal,1
coronari,2
lancet,2
c,2
del,1
piccolo,1
l,2
bull,3
inquiri,1
hall,3
ja,6
harrigan,1
behavior,3
appl,1
prev,1
lb,1
dugdal,1
dc,1
dodson,1
epstein,2
encount,2
aliteratur,1
arch,1
med,8
dimatteo,1
mr,1
hay,1
rd,2
princ,1
lm,2
appoint,1
noncompli,1
grifﬁth,1
iii,1
ch,1
wilson,1
jf,3
langer,1
haist,1
sa,3
hous,1
staff,1
standard,2
murphi,1
na,1
mast,1
soc,4
frankel,2
rm,2
sluyter,1
sharpley,1
cf,2
halat,1
rabinowicz,1
weiland,1
stafford,1
coun,1
quarterly2001,1
bargh,2
chen,1
burrow,1
construct,1
beeb,1
alson,1
jaff,1
feldstein,1
congruenc,1
field,1
fox,1
editor,2
perceprt,1
norwood,1
nj,1
ablex,1
gottman,1
jm,3
valid,3
obtain,1
marit,2
clin,2
ruef,1
ick,1
w,1
accuraci,1
dimascio,1
boyd,1
greenblatt,1
tension,1
antagon,1
psychosom,2
reidbord,1
sp,1
redington,1
dj,1
nonlinear,1
autonom,1
therapist,1
nerv,2
ment,2
di,2
chartrand,1
tl,1
chameleon,1
knudsen,1
ei,1
fundament,1
ann,5
georg,1
conti,1
face,1
neurophi,1
je,1
sauter,1
da,3
eisner,1
f,4
wiland,1
dresner,1
wise,1
rj,2
rosen,1
scott,1
sk,1
preferenti,1
rizzolatti,1
g,3
craighero,1
davenport,1
goldberg,1
millar,1
psychiatr,2
disord,1
miss,1
bertaki,1
kd,1
putnam,1
sm,2
interview,3
style,2
fam,3
pract,2
hide,1
acut,1
inhibit,1
abnorm,1
ar,1
bookheim,2
mazziotta,1
jc,2
neocort,1
limbic,1
neuroreport,2
md,6
jarcho,1
ni,3
fmri,2
crockett,1
mj,1
tom,1
pfeifer,1
jh,1
bm,1
word,4
disrupt,1
sci,3
tabibnia,2
crask,1
exposur,1
markaki,1
k,4
beckman,1
hb,1
assoc,1
vanderpool,1
jp,1
barratt,1
es,1
syst,1
hemmerding,1
stoddart,1
sd,2
lilford,1
bmc,1
mercer,1
sw,1
maxwel,1
heaney,1
watt,1
gc,1
preliminari,1
biliti,1
shield,1
cg,2
frank,1
p,8
fiscella,1
duberstein,1
mcdaniel,1
sh,2
meldrum,1
languag,1
primari,1
couns2005,1
graugaard,1
pk,1
holgersen,1
alexithym,1
psychoth,1
r,1
pedersen,1
jensen,1
ab,2
ehrnrooth,1
e,2
rossen,1
pb,1
von,1
der,1
mh,1
br,1
cancer,1
pennebak,1
jw,1
traumat,1
physic,1
upset,1
int,1
christenfeld,1
gerin,1
biom,1
pharmacoth,1
krantz,1
ds,1
mcceney,1
mk,1
critic,1
markowitsch,1
hj,1
fink,1
gr,1
piefk,1
magnet,3
reson,3
cogn,3
vollm,1
ba,1
tayloran,1
richardsonp,1
corcoranr,1
stirl,1
mckie,1
deakin,2
elliott,1
neuroimag,6
farrow,1
tf,1
zheng,1
wilkinson,1
id,1
spenc,1
tarrier,1
grifftith,1
pd,1
woodruff,1
pw,1
anatomi,1
botvinick,1
jha,1
ap,1
bylsma,1
fabian,1
solomon,1
pe,1
prkachin,1
km,2
enc,1
seligman,2
csikszentmihalyi,1
de,2
shazer,2
clue,1
brief,1
norton,1
trepper,1
ts,1
dolan,1
mccollum,1
ee,1
nelson,1
steve,1
ther,1
rashid,1
park,1
ac,1
richman,1
ls,1
kubzanski,1
maselko,1
kawachi,1
choo,1
bauer,1
pressman,1
cohen,1
ta,1
frequenc,1
gp,1
utter,1
submittedfor,1
public,1
grimm,1
schmidt,1
bermpohl,1
heinzel,1
dahlem,1
wyss,1
hell,1
boesig,1
boeker,1
northoff,1
segreg,1
represent,1
dimens,1
phan,1
kl,1
fitzgerald,1
nathan,1
pj,1
moor,1
gj,1
uhd,1
tw,1
tancer,1
substrat,1
voluntari,2
suppress,2
biol,1
ochsner,2
kn,2
ray,1
cooper,1
robertson,1
er,1
chopra,1
gabri,1
jd,1
wors,1
ohira,1
nomura,1
ichikawa,1
isowa,1
iidaka,1
sato,1
fukuyama,1
nakajima,1
yamada,1
td,1
davidson,1
ml,1
hugh,1
lindquist,1
subcort,1
enck,1
benedetti,2
schedlowski,1
nocebo,1
petrov,2
kalso,1
petersson,1
ingvar,2
dietrich,1
fransson,1
andersson,1
carlsson,1
anxieti,1
eral,1
modulatori,1
goleman,1
self,1
trend,1
satput,1
sunni,1
side,1
fair,2
prefer,1
reward,1
disregard,1
unfair,1
teasdal,1
nurs,1
adv,1
nur,1
diverg,1
psychol1998,1
matthew,1
branch,1
jr,1
wt,1
therapeut,1
taylor,1
gabl,1
sl,1
hilmert,1
cj,1
neuroendocrin,1
amanzio,1
analgesia,1
genou,1
cholecystokinin,1
progr,1
neurobiol,1
adler,1
hm,1
biopsychosoci,1
dialogu,1
